name,tag_a,tag_b,tag_c,byname,belonging,population,girls_population,mailaddress,twitter,instagram,youtube,other_account,homepage,area,clubroom,action_day,minimum_day,need_tool,action,action_career,festival,festival_doing,intercollegiate,intercollegiate_group,notkeio_people,notkeio_girls,affiliated_schools,sponsor,april,may,june,july,august,september,october,november,december,january,february,march,one_word,money,nomikai_frequency,nomikai_intensity,couple,handsome_beauty,honest,serious,past_questions,find_work,introduction,top_img,pic_1,pic_2,pic_3,pic_4,pic_5,pic_6,pic_7,pic_8,pic_9,pic_10,mov_1,mov_2
猫サークル ひよねこ,,,,ひよねこ,未公認団体,20,10,hiyoneko.keio@gmail.com,hiyoneko22,,,,http://www.hiyoneko.com/,日吉キャンパス内,なし,月曜日、木曜日,特になし,なし,地域猫活動（猫の餌やり）、猫カフェ訪問,地域猫活動はボランティアです。,参加していない,なし,×,,0,0,大学ねこ連盟 U-Cats所属大学,,新歓食事会 オリエンテーション,第一回総会、新歓合宿,特になし,特になし,特になし,夏合宿,矢上祭,特になし,特になし,特になし,納会,特になし,,,1,1,2,3,3,2,2,履歴書には書けるかもしれない,"ひよねこは、慶應唯一の地域猫サークルです！
 地域猫活動について学ぶ活動をしています。猫カフェ訪問なども随時行っており、ネコが好きなメンバーが集って楽しく活動しています。
 ネコの活動以外にも、食事会や旅行など、楽しいイベントを計画しています！",,,,,,,,,,,,,
"アトラクション同好会""AURORA""",該当なし,レジャー,インカレ,AURORA、アト同,未公認団体,30,10,enjoyaurora2017@gmail.com,enjoyaurora2017,,,,,遊園地、日吉キャンパスの教室、三田キャンパスの教室,,不定期、月1程度,特になし,少しのお金,遊園地入園。食事会。大学でのミーティング。,"昨年は都内や横浜の遊園地の他に、夏合宿では三重県の長島スパーランドへ行きました。
 富士急ハイランドやディズニーランドへも行きます。",参加した,屋台でタピオカ&チュロスを販売,〇,帝京平成大学、成城大学、東京大学、法政大学,0,0,,,新歓オリエンテーション、食事会,遊園地活動,遊園地活動、食事会,,遊園地活動、食事会,夏合宿,遊園地活動,三田祭,遊園地活動、忘年会,,遊園地活動,遊園地活動、来年度に向けての準備,日本唯一の遊園地サークルです。アトラクション好きな方募集中！,5000,2,2,2,3,4,2,2,特になし,こんにちは！アトラクション同好会、AURORAです。遊園地でアトラクションを楽しむことを目的とし、週末や長期休みを利用して遊園地に行きます。行き先はメンバーで相談して決め、近場から遠方まで様々な遊園地に行きます。最近だと富士急ハイランド、ディズニーランド、よみうりランドなどにみんなで行きました。絶叫系のアトラクションに乗るイメージがあるかもしれませんが、様々な種類のアトラクションに乗るので、絶叫系が得意な方も、苦手な方も、大歓迎です！また、定期的に食事会などのイベントも行っています。まだ発足2年半の新しいサークルですので、一緒にサークルを作り上げたいという方も大歓迎です！少しでも興味があれば、ご連絡ください。お待ちしております！,20900.jpg,20901.jpg,20902.jpg,20903.jpg,20904.jpg,20905.jpg,20906.jpg,20907.jpg,20908.jpg,20909.jpg,20910.jpg,,
日本舞踊研究会 宝,文化系,日本舞踊,,日舞研 宝,未公認団体,28,20,keio_nichibu@yahoo.co.jp,keio_nihonbuyou,keio_nichibu,,,,日吉キャンパス第四校舎、三田いきいきプラザ,,水曜日・土曜日,特になし,浴衣（浴衣の着付け練習会、購入会も行います）、扇子など舞踊に用いる小道具を必要に応じて,ベテランの先生による日本舞踊のお稽古、学生同士での日本舞踊の練習、様々なイベントによる留学生も含めた部員同士の交流,,参加した,メインステージ、ミニステージにて日本舞踊を披露しました。,×,,0,0,,,新歓オリエンテーション,,留学生送別会,,,（主に留学生を対象とした）新歓活動,,三田祭,クリスマスパーティー,,,合宿,伝統芸能と国際交流を同時にできます！一緒に楽しみましょう♪,35000,2,1,2,4,4,2,1,特になし,"唯一の日本舞踊サークルです！2017年に設立し、一昨年から三田祭に参加、日本人だけでなく留学生と共にお江戸日本橋や元禄花見踊などを披露し、唯一無二の国際交流と伝統芸能のステージをお届けしています！
 設立以来、10カ国以上の留学生と一緒に活動しておりますので、色々な国の方と友達になりたい、という方にもぴったりのサークルです！
 さて、日舞というと敷居の高いイメージがありますが、当サークルは破格の値段で日舞が習えます！また、明るく、柔らかく、上品な雰囲気があり、気軽に日舞を始められます！ほぼ部員全員が大学から始めた初心者です！
 稽古は週2回、参加頻度は柔軟に調整できるので、兼サー歓迎です！慶早戦観戦や浅草散策、クッキング会、合宿、スイーツ会などイベントが活発に開かれ、部員間の交流は多いです！男女問わず入部大歓迎です！体験会や新歓ブースに是非足をお運びください！
 体験会では、ベテランの藤間毬宝先生に着付けや踊りを教えていただくことができます！質問などお気軽にどうぞ！インスタやTwitterで活動の様子などご紹介しておりますので、そちらもぜひご覧ください！",21000.jpg,21001.jpg,21002.jpg,21003.jpg,21004.jpg,21005.jpg,21006.jpg,21007.jpg,21008.jpg,21009.jpg,21010.jpg,2091.mp4,2092.mp4
特撮映像研究会,文化系,特撮,,特撮研,未公認団体,6,1,century316kasa@gmail.com,なし,,,なし,,教室など,なし,月2回,月に1回以上は参加,,動画撮影,,参加していない,なし,×,,0,0,,,新歓,動画撮影(1),動画撮影(1),,夏合宿,動画撮影(2),動画撮影(2),三田祭出展,年末総会,,動画撮影(3),動画撮影(3),慶應唯一の特撮サークル！！特撮好き集まれ！,2000,2,3,4,4,1,1,3,特になし,特撮映像研究会はの学生による未公認サークルです。主な活動は特撮映像の撮影制作や映画の鑑賞会などです。活動頻度は時期にもよりますが、月1から2回です。設立してからあまり日が経っていないため、部員は少ないですが、各々が活発に活動しています。活動の詳細はメールアドレスまでご連絡いただければ何でもお応えします。興味のある方、ぜひ一度ご連絡ください！,,,,,,,,,,,,,
ケルト音楽愛好会,,,独立団体,k-celt,独立団体,17,5,keiocelt@gmail.com,keiocelt,,,,,塾生会館322、J436A、J436B,塾生会館322,毎週火・金,特になし,楽器（最初は先輩が貸してくれます）,セッションで良く出る曲覚え、曲のシェア、楽器の練習、セッション,,参加した,アイリッシュカフェを出店し、アイルランド伝統音楽の生演奏や飲食の提供を行った,×,,0,0,,,新歓オリエンテーション,五月祭（東大の学祭）に演奏参加,日吉駅近くのアイリッシュパブO'Brien'sでライブ,特になし,合宿（昨年度は河口湖へ）,特になし,日吉駅近くのアイリッシュパブO'Brien'sでライブ,三田祭にアイリッシュカフェ出店、生演奏,矢上キャンパスでウィンターコンサート,特になし,追いコン,新歓準備,,,2,3,3,3,3,2,2,特になし,"アイルランド伝統音楽を中心にケルト音楽を練習します。ファンタジー系のゲームの曲や映画のサウンドトラック等でも耳にすることが多く、意外にも日本人には馴染み深い音楽です。無印良品の店内BGMにもなってますね(笑)
 活動では、アイリッシュバーなどで行われるセッションに混ざれるように、楽器を演奏出来るようにしたり曲を覚えたりします。アイルランドの民族楽器にはティンホイッスルという1000円台から買える安い楽器があるので、みんな最初はそれから始めます。後に自分で興味が出てきた他の楽器（バンジョー、イーリアンパイプス、アコーディオン、コンサ―ティーナなど）を買ったり借りたりして演奏できるようにしていきます。インカレサークルではないものの、他の大学のケルト音楽サークルと仲が良く、頻繁に交流したり練習会に遊びにいったりします。",,,,,,,,,,,,,
折禅,文化系,折り紙,,折禅,未公認団体,44,23,orizen.keio@gmail.com,keio_origami,,,https://m.facebook.com/orizen,,第4校舎A棟,なし,週2回,特になし,特になし,普段の活動は週２日、みんなマイペースに、自由に作品を折っています。自由参加なので兼サーも可能です。,,参加した,折り紙作品の展示/観に来てくれた子供達に折り方を教える,×,,0,0,なし,なし,新歓/総会,,,,ボランティア活動,矢上祭準備,矢上祭,三田祭準備/三田祭,,,,,折り紙、始めてみようぜ！！！！！！！！！！(未経験者大歓迎),2000,2,3,3,3,4,2,2,特になし,"はじめまして！慶應唯一の折り紙サークル、折禅です。今や日本を代表する芸術である“折り紙”に触れてみませんか？
 普段の活動は週２日、みんなマイペースに、自由に作品を折っています。自由参加なので兼サーも可能です。例年、矢上祭・三田祭に出展したり、小学生に折り紙を教えるボランティアへ参加したりしています。留学生も多く、国際交流もできます。
 メンバーのほとんどが大学から始めた人たちです。経験者、未経験者問わず、折り紙に少しでも興味がある方は、ぜひお越しください！！",21300.jpg,21301.jpg,21302.jpg,21303.jpg,21304.jpg,21305.jpg,21306.jpg,21307.jpg,21308.jpg,21309.jpg,,,
日本模擬国連日吉研究会,学術系,国際系,,ひよけん,未公認団体,21,5,jmun.hiyoshi@gmail.com,hiyo_ken (新歓アカウント→hiyoken2020),hiyoshi_mun,,Facebook:日本模擬国連日吉研究会(ひよけん),https://www.jmunhiyoshi.com/,33番教室,,週1、毎週金曜日,特になし。自由に参加してもらっています。,興味,"模擬国連の会議の色んな側面で参考になるようなコンテンツを実施し、勉強会をしています。それだけでなく、夏合宿や前期・後期打ち上げなど多くの楽しめる企画も行っています！
 毎週Twitterなどに活動内容をアップしているのでぜひご覧ください！",,参加していない,参加していません,×,,0,0,,,新歓企画(観光企画)、春の1日会議,新歓会議、通常活動,通常活動、前期会議に向けた準備,前期会議、前期打ち上げ,夏合宿、関西大会などの複数の会議(希望者のみ),秋会議、通常活動,通常活動、後期会議に向けた準備,後期会議,通常活動、引き継ぎ、後期打ち上げ、全日本大会(希望者のみ),通常活動,通常活動,強化会議、通常活動、追いコン,個性豊かな仲間たちと共に成長しましょう！お待ちしています！,5000,4,1,4,3,4,4,3,特になし,"模擬国連の会議とは、自身が一国の大使になりきり、様々な国際会議を模倣しつつ実践的に体験するものです。そうした会議を作り、参加することを通して私達は会議経験を積んでいます。私達は、模擬国連を通して得られるものはとても大きく貴重なものだと思っています。国際問題や世界情勢、歴史、世界中の国や地域などについての知識はもちろん、読解力や交渉力、発言力、思考力など模擬国連のプロセスで学べるものは多岐に渡ります。また、国連文書の読み取りや英語を用いる会議への参加を通して英語力を鍛えるチャンスもあります。これらの力は模擬国連だけでなく、日々の学業や生活の中でも役立てることができます。
 また、それだけでなくひよけんでは多数の企画を実施しています！前期・後期打ち上げや夏合宿などの大きなイベントの他にも色々な企画が盛んです。企画ではみんなで盛り上がってがっつり遊んでいます！
 日吉研究会は多様性とメリハリを意識していて、「いつも来れる人もそうでない人も」「会議が好きな人もひよけんのコミュニティが好きな人も」どんな人でも私達は歓迎します！！会議をする時は真剣に取り組み、遊ぶ時はしっかり遊んで、メリハリのついた濃密な時間を私達と一緒に過ごしましょう！",21400.jpg,21401.jpg,21402.jpg,21403.jpg,21404.jpg,21405.jpg,21406.jpg,21407.jpg,21408.jpg,21409.jpg,21410.jpg,,
学生団体GEIL,学術系,政策,インカレ,ガイル,非公認団体,6,4,info@waavgeil.jp,waavgeil,,,@policymakingcontestgeil（Facebook）,https://waavgeil.jp/,東京大学駒場キャンパス,上智大学、東京大学に部室があります。,毎週金曜日,特になし,,毎年夏に学生のための政策立案コンテストを開催しています。イベントに向けての準備を行います。企画運営をはじめ、渉外金の獲得、広報活動に至るまで全ての活動を学生のみで行っています。,毎年夏、全国の大学生、大学院生を対象とした政策立案コンテストを開催します。,参加していない,,〇,東京大学、一橋大学、早稲田大学、上智大学の他、首都圏の様々な大学,44,,,多数。詳しくはこちら（https://waavgeil.jp/supporter/ )をご覧下さい。,,PreGEIL1泊2日の政策立案体験合宿（新入生対象）、五月祭（東大）に出店,1日完結型のイベント、1泊2日の内部向け宿泊型イベント,,学生のための政策立案コンテスト,執行代交代、新体制発足,,,,,,春の政策立案イベント,政策立案コンテスト主催！真面目なインカレで充実した学生生活を,5000,2,2,2,3,4,4,2,学生のみで、しかも大学1、2年生が中心となり本格的な政策立案イベントを開催する経験は、就職活動で自信をもってアピールすることができるでしょう。,「学生のための政策立案コンテスト」を開催している学生団体GEILです。構成員は主に大学1、2年生。学生だけで1からイベントを作り上げていきます。優秀な仲間やイベント参加者との出会いに刺激を受けながらGEILで過ごす濃密な一年半、あなたは何にチャレンジしますか？,21500.jpg,21501.jpg,21502.jpg,21503.jpg,21504.jpg,21505.jpg,21506.jpg,21507.jpg,21508.jpg,,,2151.mp4,
さよならモラトリアム,,,,さよならモラトリアム,未公認団体,9,9,sayomora.2020@gmail.com,sayomora_keio,sayonaramoratorium,,,,日吉キャンパス独立館、都内スタジオ,,週3回(メンバーの履修状況に合わせて曜日を決定します),基本全参加(メンバーの予定に合わせて活動日を決定します),練習着、マイク、やる気,アイドルコピーダンスの全国大会「UNIDOL」への出場、各種学祭や外部イベントへの出演に向けて練習を行います。,"UNIDOL2016-17winter 全国第3位
 UNIDOL2017Fresh 優勝
 UNIDOL2018Fresh 第3位
 UNIDOL2019summer 全国準優勝
 その他:2018年2月 単独公演開催",参加した,メインステージにて公演を行いました。,×,,0,0,,,新歓、新メンバーオーディション,新メンバーお披露目、予選に向けての練習,UNIDOL summer 関東予選,SFC七夕祭、決勝戦に向けての練習,UNIDOL summer決勝戦,外部イベントや学祭の出演、それに向けての練習,UNIDOL Fresh大会、SFC秋祭などの学祭,三田祭、冬予選に向けての練習,UNIDOL winter 関東予選,決勝戦に向けての練習,UNIDOL winter 決勝戦,卒業コンサート,,,1,1,2,4,5,5,2,学生時代に本気で取り組む経験ができます。,アイドルコピーダンスサークル、さよならモラトリアムです！UNIDOLという大会で優勝することを目指して活動しています。主にハロプロやAKBなど沢山のアイドルをコピーしています！私たちと本気でステージを作りませんか？少しでも気になった方は気軽にご連絡ください！,,,,,,,,,,,,,
お散歩サークルRAMBLER,該当なし,お散歩,インカレ,RAMBLER,非公認団体,17,2,keio.rambler2020@gmail.com,keio_osampo,https//www..com/rambler.osampo/,,,https://clubosanpo.exblog.jp/,不特定,,月2,特になし,特になし,東京・神奈川近辺をお散歩,過去にはNHKスペシャルや日本経済新聞、朝日新聞、AERAに取材していただきました。,参加した,二年前は屋台で焼き担々麵を販売していました。,〇,相模女子大学、学習院女子大学(ただし、特定の大学と活動しているのではなく、大学は問わない感じです。),2,,,,新歓お散歩,新歓お散歩,総会、親睦会、お散歩,試験期間のため、活動は休み,ナイトウォーク、山手線すごろくゲーム(お散歩です),夏季合宿、お散歩,お散歩,お散歩、OBOG会、(年度によっては三田祭にも出店),総会、お散歩、東京メトロ謎解き散歩,試験期間のため、活動は休み,春季合宿、お散歩,お散歩、送別会、OBOG会,未知なる道を愉快な団員たちと歩いてみませんか？,500,2,1,2,2,3,1,2,脚力が鍛えられるので、連日のOBOG巡りや企業説明会、面接など就職活動での徒歩移動が楽にできます。また、散歩中は延々と雑談をしているので、トーク力も磨けることでしょう。,"当サークルでは、東京や神奈川の名所を適当に歩きながら、雑談や食べ歩きを楽しめます。また、月２でインスタ映えする名所を回るので、Instagramの投稿のネタにも困りません。
 サークル内の仲も良く、アットホームな雰囲気で居心地も抜群ですし、色々な趣味嗜好(次元を問わずアイドルなど)や属性(キラキラ女子とか)をもった方がいるので、誰かしらは気が合うと思います。そして、代表と副代表(女子含む)が強制飲酒からあなたを全力で守ります。
 なかなかに安全・安心のサークルだと自負しておりますので、ご興味のある方は是非新歓散歩にいらしてくださいね。",21700.jpg,21701.jpg,21702.jpg,21703.jpg,21704.jpg,21705.jpg,21706.jpg,21707.jpg,21708.jpg,21709.jpg,21710.jpg,,
